Test Case: H20SXM_aten-max
| _tensor | strides | dtype | status | b_device | b_dtype | rtol  | atol  | cosine_sim | max_abs_err | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate | eb | rmse | small_value_err_ratio | max_rel_error | mean_rel_error | max_ulp_error | mean_ulp_error | ulp_error_proportion |              message              |
|  [32]   |   [1]   |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
|  [32]   |   [1]   |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
|  [32]   |   [1]   |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
|  [32]   |   [1]   |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
|  [32]   |   [1]   |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
|  [32]   |   [1]   |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
|  [32]   |   [1]   |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
|  [32]   |   [1]   |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
|  [32]   |   [1]   |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
|  [32]   |   [1]   |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
|  [32]   |   [1]   |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
|  [32]   |   [1]   |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
|  [32]   |   [1]   |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
|  [32]   |   [1]   |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
|  [32]   |   [1]   |  Int  |  pass  |   cpu    |   int   | 1e-06 | 1e-09 |            |             |                   |                    |                        |    0.0     |    |      |                       |               |                |               |                |                      | Error Rate is 0, consider as pass |
